   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  4.5300000e+03  2.1835100e+03  2.4999998e-05  1.8337499e-07  1.0431500e+04  0.0000000e+00  3.9959339e-07  0.0000000e+00  2.5655764e-07  9.9999999e-09  2.8500193e-01  1.8097611e-07  8.1597200e+01  9.9999999e-09
  4.5900000e+03  2.1835100e+03  0.0000000e+00  1.7464670e-07  1.0431500e+04  1.6666666e-05  2.9709153e-07  0.0000000e+00  2.1507940e-07  9.9999999e-09  2.6958562e-01  1.3529565e-07  8.9115009e+01  9.9999999e-09
  4.6500000e+03  2.1835100e+03  0.0000000e+00  2.0359297e-07  1.0431500e+04  8.3333328e-06  3.6795273e-07  0.0000000e+00  2.6273028e-07  9.9999999e-09  2.8458568e-01  1.5414934e-07  9.1131380e+01  9.9999999e-09
  4.7100000e+03  2.1835100e+03  8.3333328e-06  2.2862803e-07  1.0431500e+04  8.3333328e-06  3.6582167e-07  2.4999998e-05  2.4835561e-07  9.9999999e-09  2.8583455e-01  1.3369650e-07  9.0664397e+01  9.9999999e-09
  4.7700000e+03  2.1835100e+03  3.3333331e-05  1.5002685e-07  1.0431500e+04  1.6666666e-05  3.3812097e-07  2.5004005e-05  8.1100807e-07  9.9999999e-09  2.7166857e-01  1.8301840e-07  8.8277375e+01  9.9999999e-09
  4.8300000e+03  2.1835100e+03  2.4999998e-05  2.2186016e-07  1.0431500e+04  1.6666666e-05  3.1124928e-07  2.4999998e-05  4.9546434e-07  9.9999999e-09  5.4642832e+01  1.5742866e-07  8.9874941e+01  9.9999999e-09
  4.8900000e+03  2.1835100e+03  1.6666666e-05  1.6608977e-07  1.0431500e+04  8.3333328e-06  3.1207655e-07  0.0000000e+00  2.6360734e-07  9.9999999e-09  9.4525907e+02  1.9042798e-07  8.8528091e+01  9.9999999e-09
  4.9500000e+03  2.1835100e+03  8.3364625e-06  1.6521312e-07  1.0431500e+04  3.3333331e-05  3.0278987e-07  8.3333328e-06  1.9133557e-07  9.9999999e-09  3.5892656e+01  1.8868198e-07  8.9258026e+01  9.9999999e-09
  5.0100000e+03  2.1835100e+03  2.4999998e-05  2.3632771e-07  1.0431500e+04  0.0000000e+00  3.2493358e-07  2.4999999e-05  2.0656350e-06  9.9999999e-09  9.8561973e+01  2.2191586e-07  8.9841402e+01  9.9999999e-09
  5.0700000e+03  2.1835100e+03  1.6666666e-05  1.9302400e-07  1.0431500e+04  8.3333328e-06  3.8575890e-07  1.6666666e-05  2.4052968e-06  9.9999999e-09  5.9741340e+01  2.5114875e-07  8.9266607e+01  9.9999999e-09
  5.1300000e+03  2.1835100e+03  0.0000000e+00  1.9568395e-07  1.0431500e+04  8.3333328e-06  3.2784046e-07  1.6669625e-05  2.5078652e-06  9.9999999e-09  9.3430573e+01  1.9041561e-07  8.9499107e+01  9.9999999e-09
  5.1900000e+03  2.1835100e+03  8.3333328e-06  1.6912903e-07  1.0431500e+04  2.4999998e-05  3.1100597e-07  1.6666666e-05  1.3231738e-06  9.9999999e-09  9.8072256e+01  2.2515851e-07  8.9210349e+01  9.9999999e-09
  5.2500000e+03  2.1835100e+03  0.0000000e+00  2.0981663e-07  1.0431500e+04  1.6666666e-05  3.6823048e-07  0.0000000e+00  2.5106125e-07  9.9999999e-09  3.7882260e+01  1.6194267e-07  9.0322969e+01  9.9999999e-09
  5.3100000e+03  2.1835100e+03  8.3333328e-06  2.2405718e-07  1.0431500e+04  4.1993218e-01  4.5361133e-07  0.0000000e+00  3.1173948e-07  9.9999999e-09  2.7432398e+01  1.7877327e-07  9.0890160e+01  9.9999999e-09
  5.3700000e+03  2.1835100e+03  3.3333331e-05  1.6176382e-07  1.0431500e+04  3.2096486e+00  3.3316862e-07  1.6666666e-05  2.1832050e-07  9.9999999e-09  3.5483722e+01  1.6395233e-07  9.0101710e+01  9.9999999e-09
  5.4300000e+03  2.1835100e+03  2.4999998e-05  1.6584038e-07  1.0431500e+04  2.5967615e+00  3.4861515e-07  8.3333328e-06  1.7720606e-07  9.9999999e-09  6.8684700e+01  1.8028259e-07  9.0096815e+01  9.9999999e-09
  5.4900000e+03  2.1835100e+03  0.0000000e+00  1.7260614e-07  1.0431500e+04  1.5767637e+00  4.2447328e-07  2.4999998e-05  2.4658126e-07  9.9999999e-09  3.0940843e+00  1.8960822e-07  8.9431710e+01  9.9999999e-09
