    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  2.6700000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.6667035e-04  9.9719299e-10  8.3333328e-06  6.7477191e-08  9.9999999e-09  2.3504475e-01  8.8165373e-04  9.2382346e+00  8.8601948e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.7300000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.2500280e-04  9.9719299e-10  0.0000000e+00  9.0745149e-08  9.9999999e-09  2.3870863e-01  3.4313655e-03  9.1468380e+00  8.6800832e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.7900000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.1667244e-04  9.9719299e-10  0.0000000e+00  5.3978152e-08  9.9999999e-09  2.3416745e-01  2.4425764e-03  9.0750777e+00  3.7759546e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.8500000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  3.5000328e-04  9.9719299e-10  0.0000000e+00  6.0111531e-08  9.9999999e-09  2.3251515e-01  1.4246702e-03  9.0347829e+00  7.9033372e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.9100000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  3.8333331e-04  9.9719299e-10  0.0000000e+00  8.6309095e-08  9.9999999e-09  2.3040808e-01  2.5945470e-04  8.9657091e+00  4.2172419e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.9700000e+03  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  4.3334129e-04  9.9719299e-10  0.0000000e+00  1.3440105e-07  9.9999999e-09  2.3541396e-01  1.5631314e-03  9.0517465e+00  4.6519305e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.0300000e+03  1.9226899e+03  4.1666664e-05  9.9719299e-10  1.9226899e+03  3.5833331e-04  9.9719299e-10  0.0000000e+00  3.0208224e-08  9.9999999e-09  2.2873562e-01  2.7668754e-03  9.1628490e+00  5.1336337e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.0900000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  3.8333331e-04  9.9719299e-10  0.0000000e+00  6.2089116e-08  9.9999999e-09  2.5249149e-01  5.3588791e-03  9.1774718e+00  9.8756568e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.1500000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  3.8333331e-04  9.9719299e-10  0.0000000e+00  9.2523146e-08  9.9999999e-09  2.3419427e-01  1.1916734e-04  8.2231167e+00  6.9087357e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.2100000e+03  1.9226899e+03  2.4999999e-05  9.9719299e-10  1.9226899e+03  3.4166665e-04  9.9719299e-10  0.0000000e+00  8.1504063e-08  9.9999999e-09  2.4037266e-01  2.9477740e-03  8.1100728e+00  1.1877669e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.2700000e+03  1.9226899e+03  4.1670545e-05  9.9719299e-10  1.9226899e+03  3.3333630e-04  9.9719299e-10  0.0000000e+00  1.7159362e-08  9.9999999e-09  2.3338009e-01  4.3565983e-03  9.2252084e+00  5.2132527e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.3300000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.5000898e-04  9.9719299e-10  8.3333328e-06  5.6587709e-08  9.9999999e-09  2.4000171e-01  3.3009819e-03  9.2593987e+00  5.2084669e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.3900000e+03  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  4.2500548e-04  9.9719299e-10  0.0000000e+00  6.7337290e-08  9.9999999e-09  2.5291867e-01  1.7661964e-03  9.1732747e+00  5.3278975e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.4500000e+03  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  4.9999997e-04  9.9719299e-10  0.0000000e+00  5.6885447e-08  9.9999999e-09  2.5325137e-01  1.4413482e-04  9.3847387e+00  5.8608594e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.5100000e+03  1.9226899e+03  3.4916666e-03  9.9719299e-10  1.9226899e+03  3.0833331e-04  9.9719299e-10  0.0000000e+00  6.4440761e-08  9.9999999e-09  1.2427898e+01  1.6066815e-03  9.1460248e+00  1.1417042e-07  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.5700000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  5.1667021e-04  9.9719299e-10  0.0000000e+00  7.4866391e-07  9.9999999e-09  2.3323103e-01  6.4780719e-03  9.2276105e+00  5.6149098e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.6300000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  4.4166664e-04  9.9719299e-10  0.0000000e+00  6.0787262e-08  9.9999999e-09  2.3010507e-01  4.2073693e-03  9.4512718e+00  9.2321286e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.6900000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  3.9166664e-04  9.9719299e-10  0.0000000e+00  9.4805286e-08  9.9999999e-09  2.3166869e-01  3.6230659e-03  9.2069208e+00  7.1695142e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.7500000e+03  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  4.2500644e-04  9.9719299e-10  0.0000000e+00  4.8950050e-08  9.9999999e-09  2.3195203e-01  2.1921448e-04  9.2913710e+00  3.7555911e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.8100000e+03  1.9226899e+03  1.6669649e-05  9.9719299e-10  1.9226899e+03  3.5833904e-04  9.9719299e-10  0.0000000e+00  5.1866017e-08  9.9999999e-09  2.3930124e-01  4.5841003e-04  9.1164639e+00  7.2841164e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.8700000e+03  1.9226899e+03  5.8333330e-05  9.9719299e-10  1.9226899e+03  3.3333662e-04  9.9719299e-10  0.0000000e+00  5.4614048e-08  9.9999999e-09  2.4166802e-01  3.4193940e-03  9.0145283e+00  3.6437384e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.9300000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.4167407e-04  9.9719299e-10  0.0000000e+00  5.7915936e-08  9.9999999e-09  2.4916863e-01  4.0067042e-03  9.2287457e+00  6.5125879e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.9900000e+03  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  3.9166664e-04  9.9719299e-10  0.0000000e+00  6.2161016e-08  9.9999999e-09  2.5250171e-01  3.5344685e-03  9.2446829e+00  8.1877523e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.0500000e+03  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  4.2500359e-04  9.9719299e-10  0.0000000e+00  6.9606863e-08  9.9999999e-09  2.3250131e-01  2.9452762e-03  8.8472446e+00  3.5106515e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.1100000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.0833918e-04  9.9719299e-10  0.0000000e+00  8.8502628e-08  9.9999999e-09  2.3481062e-01  4.3101341e-03  8.5608815e+00  7.1461924e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.1700000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.2500387e-04  9.9719299e-10  0.0000000e+00  2.6490983e-08  9.9999999e-09  2.3810898e-01  4.7942802e-03  9.2933817e+00  1.7710982e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.2300000e+03  1.9226899e+03  3.3336332e-05  9.9719299e-10  1.9226899e+03  4.4166998e-04  9.9719299e-10  0.0000000e+00  5.6953162e-08  9.9999999e-09  2.4958476e-01  4.7788550e-03  9.0693337e+00  5.3123177e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.2900000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  4.4999997e-04  9.9719299e-10  8.3333328e-06  2.7326151e-08  9.9999999e-09  2.4833464e-01  3.0757163e-03  8.7599585e+00  1.0193517e-07  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.3500000e+03  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  4.6666664e-04  9.9719299e-10  0.0000000e+00  9.3780081e-08  9.9999999e-09  2.2500188e-01  5.0420529e-03  9.6599598e+00  6.3854473e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
