   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  5.4900000e+03  2.1835100e+03  1.6666666e-05  9.7035767e-08  1.0431500e+04  3.3333331e-05  2.2542842e-08  1.6666666e-05  2.6118135e-08  9.9999999e-09  4.0333584e-01  2.7213003e-07  8.6208474e-08  6.5994135e-08
  5.5500000e+03  2.1835100e+03  2.4999998e-05  1.3816121e-07  1.0431500e+04  8.3333328e-06  1.4919065e-08  1.6666666e-05  5.3247082e-06  9.9999999e-09  3.8958683e-01  2.8557053e-07  6.5780412e-08  1.0870828e-07
  5.6100000e+03  2.1835100e+03  8.3333328e-06  1.5400182e-05  1.0431500e+04  5.8333330e-05  1.7209937e-08  1.6666666e-05  1.9746100e-08  9.9999999e-09  4.0500263e-01  2.6092188e-07  8.7755734e-08  6.4720005e-08
  5.6700000e+03  2.1835100e+03  3.3333331e-05  8.1528447e-08  1.0431500e+04  4.1666664e-05  4.1536083e-06  1.6666666e-05  1.9746100e-08  9.9999999e-09  3.8458590e-01  1.9430539e-07  6.2764523e-08  1.0279087e-07
  5.7300000e+03  2.1835100e+03  2.4999998e-05  1.2065052e-07  1.0431500e+04  2.4999998e-05  1.3739372e-08  1.6666666e-05  1.9746100e-08  9.9999999e-09  3.9083512e-01  2.0384570e-07  4.5571755e-08  1.2671475e-07
  5.7900000e+03  2.1835100e+03  1.6666666e-05  1.5653218e-07  1.0431500e+04  3.3333331e-05  1.7614596e-08  8.3333328e-06  1.4833180e-08  9.9999999e-09  3.8791932e-01  1.7270922e-07  8.9258893e-08  1.0008869e-07
  5.8500000e+03  2.1835100e+03  2.4999998e-05  1.3532351e-07  1.0431500e+04  5.8333330e-05  1.9196713e-08  2.4999998e-05  1.2698827e-08  9.9999999e-09  3.8708566e-01  1.7484891e-07  8.3319610e-08  1.1476810e-07
  5.9100000e+03  2.1835100e+03  1.6670339e-05  8.2517641e-08  1.0431500e+04  3.3333331e-05  1.4957800e-08  2.4999998e-05  1.2522200e-08  9.9999999e-09  3.8916914e-01  1.9351233e-07  6.1173774e-08  7.6929639e-08
  5.9700000e+03  2.1835100e+03  3.3333331e-05  9.4847080e-08  1.0431500e+04  3.3336922e-05  1.5868697e-08  2.4999998e-05  1.2522200e-08  9.9999999e-09  4.0333599e-01  1.9195130e-07  8.8180677e-08  1.4421094e-07
  6.0300000e+03  2.1835100e+03  2.4999998e-05  8.7354122e-08  1.0431500e+04  3.3333331e-05  2.6314222e-08  0.0000000e+00  8.0127549e-08  9.9999999e-09  3.9375216e-01  2.5787590e-07  3.6763557e-08  1.0153069e-07
  6.0900000e+03  2.1835100e+03  8.3333328e-06  6.6159082e-08  1.0431500e+04  6.6666662e-05  1.5931283e-08  1.6666666e-05  1.8809633e-07  9.9999999e-09  4.1125399e-01  2.3736919e-07  9.1350605e-08  1.4953492e-07
  6.1500000e+03  2.1835100e+03  3.3333331e-05  1.7222986e-07  1.0431500e+04  5.0002841e-05  2.0853379e-08  2.4999998e-05  3.8855282e-08  9.9999999e-09  3.7894142e-01  2.1139582e-07  5.7619184e-08  9.7969081e-08
